officer_id,name,assigned_station,email,phone,shift,rank
OFF_ADUGODI_01,Ramesh Kumar,ADUGODI,off_adugodi_01@btp-demo.example,+91-98607037094,day,ASI
OFF_ADUGODI_02,Suresh Singh,ADUGODI,off_adugodi_02@btp-demo.example,+91-98251477810,day,ASI
OFF_ADUGODI_03,Mahesh Reddy,ADUGODI,off_adugodi_03@btp-demo.example,+91-98357979917,day,ASI
OFF_ADUGODI_04,Ganesh Naidu,ADUGODI,off_adugodi_04@btp-demo.example,+91-98196228928,night,HC
OFF_ADUGODI_05,Venkatesh Rao,ADUGODI,off_adugodi_05@btp-demo.example,+91-98983147162,night,HC
OFF_ASHOK_NAGAR_01,Ramesh Kumar,ASHOK NAGAR,off_ashok_nagar_01@btp-demo.example,+91-98930317643,day,ASI
OFF_ASHOK_NAGAR_02,Suresh Singh,ASHOK NAGAR,off_ashok_nagar_02@btp-demo.example,+91-98342338207,day,ASI
OFF_ASHOK_NAGAR_03,Mahesh Reddy,ASHOK NAGAR,off_ashok_nagar_03@btp-demo.example,+91-98872659662,day,ASI
OFF_ASHOK_NAGAR_04,Ganesh Naidu,ASHOK NAGAR,off_ashok_nagar_04@btp-demo.example,+91-98702838042,night,HC
OFF_ASHOK_NAGAR_05,Venkatesh Rao,ASHOK NAGAR,off_ashok_nagar_05@btp-demo.example,+91-98943831852,night,HC
OFF_BANASHANKARI_01,Ramesh Kumar,BANASHANKARI,off_banashankari_01@btp-demo.example,+91-98321991082,day,ASI
OFF_BANASHANKARI_02,Suresh Singh,BANASHANKARI,off_banashankari_02@btp-demo.example,+91-98800135501,day,ASI
OFF_BANASHANKARI_03,Mahesh Reddy,BANASHANKARI,off_banashankari_03@btp-demo.example,+91-98380405220,day,ASI
OFF_BANASHANKARI_04,Ganesh Naidu,BANASHANKARI,off_banashankari_04@btp-demo.example,+91-98769305512,night,HC
OFF_BANASHANKARI_05,Venkatesh Rao,BANASHANKARI,off_banashankari_05@btp-demo.example,+91-98159705778,night,HC
OFF_BANASWADI_01,Ramesh Kumar,BANASWADI,off_banaswadi_01@btp-demo.example,+91-98225181743,day,ASI
OFF_BANASWADI_02,Suresh Singh,BANASWADI,off_banaswadi_02@btp-demo.example,+91-98403974699,day,ASI
OFF_BANASWADI_03,Mahesh Reddy,BANASWADI,off_banaswadi_03@btp-demo.example,+91-98514867382,day,ASI
OFF_BANASWADI_04,Ganesh Naidu,BANASWADI,off_banaswadi_04@btp-demo.example,+91-98899054000,night,HC
OFF_BANASWADI_05,Venkatesh Rao,BANASWADI,off_banaswadi_05@btp-demo.example,+91-98530974759,night,HC
OFF_BASAVANAGUDI_01,Ramesh Kumar,BASAVANAGUDI,off_basavanagudi_01@btp-demo.example,+91-98779707471,day,ASI
OFF_BASAVANAGUDI_02,Suresh Singh,BASAVANAGUDI,off_basavanagudi_02@btp-demo.example,+91-98547057899,day,ASI
OFF_BASAVANAGUDI_03,Mahesh Reddy,BASAVANAGUDI,off_basavanagudi_03@btp-demo.example,+91-98689295587,day,ASI
OFF_BASAVANAGUDI_04,Ganesh Naidu,BASAVANAGUDI,off_basavanagudi_04@btp-demo.example,+91-98004386059,night,HC
OFF_BASAVANAGUDI_05,Venkatesh Rao,BASAVANAGUDI,off_basavanagudi_05@btp-demo.example,+91-98606121740,night,HC
OFF_BELLANDUR_01,Ramesh Kumar,BELLANDUR,off_bellandur_01@btp-demo.example,+91-98211469236,day,ASI
OFF_BELLANDUR_02,Suresh Singh,BELLANDUR,off_bellandur_02@btp-demo.example,+91-98843764892,day,ASI
OFF_BELLANDUR_03,Mahesh Reddy,BELLANDUR,off_bellandur_03@btp-demo.example,+91-98608302524,day,ASI
OFF_BELLANDUR_04,Ganesh Naidu,BELLANDUR,off_bellandur_04@btp-demo.example,+91-98870673107,night,HC
OFF_BELLANDUR_05,Venkatesh Rao,BELLANDUR,off_bellandur_05@btp-demo.example,+91-98327652193,night,HC
OFF_BYATARAYANAPURA_01,Ramesh Kumar,BYATARAYANAPURA,off_byatarayanapura_01@btp-demo.example,+91-98396766508,day,ASI
OFF_BYATARAYANAPURA_02,Suresh Singh,BYATARAYANAPURA,off_byatarayanapura_02@btp-demo.example,+91-98563692537,day,ASI
OFF_BYATARAYANAPURA_03,Mahesh Reddy,BYATARAYANAPURA,off_byatarayanapura_03@btp-demo.example,+91-98648569405,day,ASI
OFF_BYATARAYANAPURA_04,Ganesh Naidu,BYATARAYANAPURA,off_byatarayanapura_04@btp-demo.example,+91-98161101105,night,HC
OFF_BYATARAYANAPURA_05,Venkatesh Rao,BYATARAYANAPURA,off_byatarayanapura_05@btp-demo.example,+91-98370758273,night,HC
OFF_CHAMARAJPET_01,Ramesh Kumar,CHAMARAJPET,off_chamarajpet_01@btp-demo.example,+91-98160504468,day,ASI
OFF_CHAMARAJPET_02,Suresh Singh,CHAMARAJPET,off_chamarajpet_02@btp-demo.example,+91-98883095883,day,ASI
OFF_CHAMARAJPET_03,Mahesh Reddy,CHAMARAJPET,off_chamarajpet_03@btp-demo.example,+91-98052588177,day,ASI
OFF_CHAMARAJPET_04,Ganesh Naidu,CHAMARAJPET,off_chamarajpet_04@btp-demo.example,+91-98925583356,night,HC
OFF_CHAMARAJPET_05,Venkatesh Rao,CHAMARAJPET,off_chamarajpet_05@btp-demo.example,+91-98747496723,night,HC
OFF_CHIKKABANAVARA_01,Ramesh Kumar,CHIKKABANAVARA,off_chikkabanavara_01@btp-demo.example,+91-98891032435,day,ASI
OFF_CHIKKABANAVARA_02,Suresh Singh,CHIKKABANAVARA,off_chikkabanavara_02@btp-demo.example,+91-98776535936,day,ASI
OFF_CHIKKABANAVARA_03,Mahesh Reddy,CHIKKABANAVARA,off_chikkabanavara_03@btp-demo.example,+91-98176742385,day,ASI
OFF_CHIKKABANAVARA_04,Ganesh Naidu,CHIKKABANAVARA,off_chikkabanavara_04@btp-demo.example,+91-98124015113,night,HC
OFF_CHIKKABANAVARA_05,Venkatesh Rao,CHIKKABANAVARA,off_chikkabanavara_05@btp-demo.example,+91-98413675632,night,HC
OFF_CHIKKAJALA_01,Ramesh Kumar,CHIKKAJALA,off_chikkajala_01@btp-demo.example,+91-98136642890,day,ASI
OFF_CHIKKAJALA_02,Suresh Singh,CHIKKAJALA,off_chikkajala_02@btp-demo.example,+91-98818832072,day,ASI
OFF_CHIKKAJALA_03,Mahesh Reddy,CHIKKAJALA,off_chikkajala_03@btp-demo.example,+91-98184419122,day,ASI
OFF_CHIKKAJALA_04,Ganesh Naidu,CHIKKAJALA,off_chikkajala_04@btp-demo.example,+91-98204155782,night,HC
OFF_CHIKKAJALA_05,Venkatesh Rao,CHIKKAJALA,off_chikkajala_05@btp-demo.example,+91-98448745400,night,HC
OFF_CITY_MARKET_01,Ramesh Kumar,CITY MARKET,off_city_market_01@btp-demo.example,+91-98110960304,day,ASI
OFF_CITY_MARKET_02,Suresh Singh,CITY MARKET,off_city_market_02@btp-demo.example,+91-98511557665,day,ASI
OFF_CITY_MARKET_03,Mahesh Reddy,CITY MARKET,off_city_market_03@btp-demo.example,+91-98118356418,day,ASI
OFF_CITY_MARKET_04,Ganesh Naidu,CITY MARKET,off_city_market_04@btp-demo.example,+91-98237873535,night,HC
OFF_CITY_MARKET_05,Venkatesh Rao,CITY MARKET,off_city_market_05@btp-demo.example,+91-98545879925,night,HC
OFF_CUBBON_PARK_01,Ramesh Kumar,CUBBON PARK,off_cubbon_park_01@btp-demo.example,+91-98512116388,day,ASI
OFF_CUBBON_PARK_02,Suresh Singh,CUBBON PARK,off_cubbon_park_02@btp-demo.example,+91-98170306666,day,ASI
OFF_CUBBON_PARK_03,Mahesh Reddy,CUBBON PARK,off_cubbon_park_03@btp-demo.example,+91-98812597713,day,ASI
OFF_CUBBON_PARK_04,Ganesh Naidu,CUBBON PARK,off_cubbon_park_04@btp-demo.example,+91-98456545584,night,HC
OFF_CUBBON_PARK_05,Venkatesh Rao,CUBBON PARK,off_cubbon_park_05@btp-demo.example,+91-98539831774,night,HC
OFF_DEVANAHALLI_AIRPORT_01,Ramesh Kumar,DEVANAHALLI AIRPORT,off_devanahalli_airport_01@btp-demo.example,+91-98861356317,day,ASI
OFF_DEVANAHALLI_AIRPORT_02,Suresh Singh,DEVANAHALLI AIRPORT,off_devanahalli_airport_02@btp-demo.example,+91-98821580185,day,ASI
OFF_DEVANAHALLI_AIRPORT_03,Mahesh Reddy,DEVANAHALLI AIRPORT,off_devanahalli_airport_03@btp-demo.example,+91-98704052381,day,ASI
OFF_DEVANAHALLI_AIRPORT_04,Ganesh Naidu,DEVANAHALLI AIRPORT,off_devanahalli_airport_04@btp-demo.example,+91-98691205767,night,HC
OFF_DEVANAHALLI_AIRPORT_05,Venkatesh Rao,DEVANAHALLI AIRPORT,off_devanahalli_airport_05@btp-demo.example,+91-98762916499,night,HC
OFF_ELECTRONIC_CITY_01,Ramesh Kumar,ELECTRONIC CITY,off_electronic_city_01@btp-demo.example,+91-98824717075,day,ASI
OFF_ELECTRONIC_CITY_02,Suresh Singh,ELECTRONIC CITY,off_electronic_city_02@btp-demo.example,+91-98274665258,day,ASI
OFF_ELECTRONIC_CITY_03,Mahesh Reddy,ELECTRONIC CITY,off_electronic_city_03@btp-demo.example,+91-98489628570,day,ASI
OFF_ELECTRONIC_CITY_04,Ganesh Naidu,ELECTRONIC CITY,off_electronic_city_04@btp-demo.example,+91-98559673439,night,HC
OFF_ELECTRONIC_CITY_05,Venkatesh Rao,ELECTRONIC CITY,off_electronic_city_05@btp-demo.example,+91-98462966267,night,HC
OFF_HAL_OLD_AIRPORT_01,Ramesh Kumar,HAL OLD AIRPORT,off_hal_old_airport_01@btp-demo.example,+91-98482197675,day,ASI
OFF_HAL_OLD_AIRPORT_02,Suresh Singh,HAL OLD AIRPORT,off_hal_old_airport_02@btp-demo.example,+91-98159078576,day,ASI
OFF_HAL_OLD_AIRPORT_03,Mahesh Reddy,HAL OLD AIRPORT,off_hal_old_airport_03@btp-demo.example,+91-98764758464,day,ASI
OFF_HAL_OLD_AIRPORT_04,Ganesh Naidu,HAL OLD AIRPORT,off_hal_old_airport_04@btp-demo.example,+91-98420675441,night,HC
OFF_HAL_OLD_AIRPORT_05,Venkatesh Rao,HAL OLD AIRPORT,off_hal_old_airport_05@btp-demo.example,+91-98752410443,night,HC
OFF_HALASUR_01,Ramesh Kumar,HALASUR,off_halasur_01@btp-demo.example,+91-98337152531,day,ASI
OFF_HALASUR_02,Suresh Singh,HALASUR,off_halasur_02@btp-demo.example,+91-98420800446,day,ASI
OFF_HALASUR_03,Mahesh Reddy,HALASUR,off_halasur_03@btp-demo.example,+91-98944198817,day,ASI
OFF_HALASUR_04,Ganesh Naidu,HALASUR,off_halasur_04@btp-demo.example,+91-98389066415,night,HC
OFF_HALASUR_05,Venkatesh Rao,HALASUR,off_halasur_05@btp-demo.example,+91-98112917991,night,HC
OFF_HALASURU_GATE_01,Ramesh Kumar,HALASURU GATE,off_halasuru_gate_01@btp-demo.example,+91-98501806264,day,ASI
OFF_HALASURU_GATE_02,Suresh Singh,HALASURU GATE,off_halasuru_gate_02@btp-demo.example,+91-98949808012,day,ASI
OFF_HALASURU_GATE_03,Mahesh Reddy,HALASURU GATE,off_halasuru_gate_03@btp-demo.example,+91-98640552350,day,ASI
OFF_HALASURU_GATE_04,Ganesh Naidu,HALASURU GATE,off_halasuru_gate_04@btp-demo.example,+91-98640033752,night,HC
