truck_id,assigned_station,driver_name,email,phone,capacity
TOW_ADUGODI_01,ADUGODI,Kiran,tow_adugodi_01@btp-demo.example,+91-77073142457,2
TOW_ADUGODI_02,ADUGODI,Manjunath,tow_adugodi_02@btp-demo.example,+91-77413965193,4
TOW_ASHOK_NAGAR_01,ASHOK NAGAR,Kiran,tow_ashok_nagar_01@btp-demo.example,+91-77426957817,2
TOW_ASHOK_NAGAR_02,ASHOK NAGAR,Manjunath,tow_ashok_nagar_02@btp-demo.example,+91-77530670728,4
TOW_BANASHANKARI_01,BANASHANKARI,Kiran,tow_banashankari_01@btp-demo.example,+91-77312433741,2
TOW_BANASHANKARI_02,BANASHANKARI,Manjunath,tow_banashankari_02@btp-demo.example,+91-77681569182,4
TOW_BANASWADI_01,BANASWADI,Kiran,tow_banaswadi_01@btp-demo.example,+91-77465500841,2
TOW_BANASWADI_02,BANASWADI,Manjunath,tow_banaswadi_02@btp-demo.example,+91-77398062104,4
TOW_BASAVANAGUDI_01,BASAVANAGUDI,Kiran,tow_basavanagudi_01@btp-demo.example,+91-77152993339,2
TOW_BASAVANAGUDI_02,BASAVANAGUDI,Manjunath,tow_basavanagudi_02@btp-demo.example,+91-77411798789,4
TOW_BELLANDUR_01,BELLANDUR,Kiran,tow_bellandur_01@btp-demo.example,+91-77927022011,2
TOW_BELLANDUR_02,BELLANDUR,Manjunath,tow_bellandur_02@btp-demo.example,+91-77765655408,4
TOW_BYATARAYANAPURA_01,BYATARAYANAPURA,Kiran,tow_byatarayanapura_01@btp-demo.example,+91-77597678868,2
TOW_BYATARAYANAPURA_02,BYATARAYANAPURA,Manjunath,tow_byatarayanapura_02@btp-demo.example,+91-77374335305,4
TOW_CHAMARAJPET_01,CHAMARAJPET,Kiran,tow_chamarajpet_01@btp-demo.example,+91-77987252410,2
TOW_CHAMARAJPET_02,CHAMARAJPET,Manjunath,tow_chamarajpet_02@btp-demo.example,+91-77457096571,4
TOW_CHIKKABANAVARA_01,CHIKKABANAVARA,Kiran,tow_chikkabanavara_01@btp-demo.example,+91-77690657021,2
TOW_CHIKKABANAVARA_02,CHIKKABANAVARA,Manjunath,tow_chikkabanavara_02@btp-demo.example,+91-77621256266,4
TOW_CHIKKAJALA_01,CHIKKAJALA,Kiran,tow_chikkajala_01@btp-demo.example,+91-77440346522,2
TOW_CHIKKAJALA_02,CHIKKAJALA,Manjunath,tow_chikkajala_02@btp-demo.example,+91-77751164648,4
TOW_CITY_MARKET_01,CITY MARKET,Kiran,tow_city_market_01@btp-demo.example,+91-77587622309,2
